File ID	File Name	Track #	Time_Seconds	Titile
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	32	4220	Whitney Houston - All The Man That I Need
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	33	4340	Luther Vandross - Here And Now
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	34	4455	George Michael - Careless Whisper
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	35	4600	Milli Vanilli - Girl I'm Gonna Miss You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	36	4775	Toni Braxton - Breathe Again
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	37	4920	Take That - Back For Good
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	38	5040	Mariah Carey - I'll Be There
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	39	5135	Don Henley & Patty Smyth - Sometimes Love Just Ain't Enough
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	40	5280	Michael Bolton - Soul Provider
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	41	5430	Savage Garden - I Knew I Loved You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	42	5565	Backstreet Boys - Show Me The Meaning Of Being Lonely
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	43	5680	Celine Dion - It's All Coming Back To Me Now
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	44	6080	Seal - Kiss From A Rose
				
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	1	0	Rotimi Feat. Wale - In My Bed
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	2	90	TrevMoMatic & Starboy Feat. Bad Boys Blue - Lover (Joro)
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	3	185	Reekado Banks - Rora
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	4	290	Haitian Konpa Feat. Vox Sambou, Manno Beats & Afrotonix - Akouna
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	5	380	DANOLA - Premye fwa (paroleslyrics)
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	6	500	WizKid - Ghetto Love
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	7	570	CKay Feat. Joeboy, Kuami Eugene & Frizzo - love nwantiti
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	8	670	Olamide Feat. Omah Lay - Infinity
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	9	800	Shenseea Ft. Tarrus Riley - Lighter
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	10	865	Ussaboy - Covid mix
2aaefaf02b	Afrobeat Mix 2021 The Best of Afrobeat 2021 by OSOCITY.mp3	11	940	Zum Feat. Shenseea - Rebel
				
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	1	0	Pitbull - Culo (ft. Lil Jon)
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	2	120	Pitbull feat. Sean Paul & Lil Jon - Culo (Remix)
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	3	185	Nina Sky - Move Ya Body
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	4	290	Bonde R300 - Challenge Oh Nanana
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	5	320	Pitbull Feat. Lil Jon - The Anthem
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	6	430	Pitbull - Hotel Room Service
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	7	545	LMFAO - Shots ft. Lil John
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	8	650	Pitbull - Calle Ocho (75, Brazil Street RMX)
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	9	740	Qwote Feat. Pitbull & Lucenzo - Throw Your Hands Up
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	10	895	Casa De Leones - No Te Veo
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	11	985	Michel Telo ft. Pitbull - Ai Se Eu Te Pego (NOSA,NOSA RMX)
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	12	1100	Pitbull ft. Machel Montano - Alright
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	13	1210	Don Omar - Zumba
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	14	1325	El General  - (que es lo que quiere esa nena)
f53e21b353	Fiesta Latina Mix 2021 Latin Party Mix 2021 The Best Latin Party Hits by OSOCITY.mp3	15	1650	Sergio Mendes - Magalenha
				
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	1	0	Platinum D - OU PA KA FE SA
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	2	150	Reggie 'N' Bollie - BUMAYE
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	3	325	DJ Snake Feat. Selena Gomez & Ozuna & Cardi B - TAKİ TAKİ
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	4	450	Geko Feat. NSG - 6:30
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	5	540	KEVNI X EDDAY - JYNOCKS [ZOUK KOMPA 2018]
d2fc13887f	Kompa Mix 2019 The Best of Kompa 2019 BY OSOCITY.mp3	6	690	OBOY DOPEBWOY AYA NAKAMURA NOKS x JE M'EN TAPE [ZOUK REMIX 2019]
				
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	1	0	NOVA X AYA - LA DOT (ZOUK REMIX 2K19)
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	2	130	NOVA X KELESHI AFRICANA - Ring (4 BritS) 2K19
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	3	200	Aya Nakamura - Djadja
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	4	295	Nakamura Feat. Charo - Monaco ZOUK REMIX
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	5	375	DJ NOKS - La COPINE Remix Zouk 2K18
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	6	470	ERPHAAN ALVES x STYX 687 - Overdue (ZOUK REMIX) 2K19
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	7	550	WILLY PAUL x ALAINE x STYX 687 - I Do (ZOUK REMIX) 2K18
6ff21d8067	Kompa Zouk Mix 2020 The Best of Kompa Zouk 2020 BY OSOCITY.mp3	8	655	OSWALD x STYX 687 - Solo (ZOUK REMIX) 2K18
				
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	1	0	Aya Nakamura - Djadja Remix
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	2	100	Aya Nakamura - Copines DjYaMtZa-Intro
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	3	220	VEGEDREAM - RAMENEZ LA COUPE A LA MAISON
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	4	330	Marwa Loud - Billet
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	5	420	Aya Nakamura - Doudou
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	6	530	Marwa Loud - Bad Boy
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	7	675	Dro X Yani - Elle A Tout
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	8	740	DRIKS Feat. Jahyanai King - TT
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	9	840	Aya Nakamura - Pookie (ASH Remix)
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	10	930	PLL feat Dj Sebb - Ocho
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	11	1060	Tayc - N'y pense plus
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	12	1170	FRANGLISH Feat.Tory Lanez - My Salsa feat
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	13	1280	Soolking feat. Lynda, Heuss, L'Algérino, Franglish - Jennifer Remix
d5f444d126	Moombahton Mix 2021 The Best of Moombahton 2021 by OSOCITY.mp3	14	1390	Soolking feat. Dadju - Melegim
				
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	1	0	Beenie Man - Romie
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	2	120	Mr Vegas - Heads High
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	3	200	Beenie Man - Let Him Go
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	4	260	Beenie Man & Mr. Vegas & Goofy & Red Rat & Chrissy D & Buccaneer & Lady Saw & Hawkeye & Lady G - Filthy Mega Mix
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	5	300	Red Rat - Tight Up Skirt
929e6d4dd7	Old School Dancehall Mix The Best of Old School Dancehall by OSOCITY.mp3	6	380	Red Rat - Bizzi Blazzi
